infection_prob	prestige	size
0.1	1.19	0.9842857142857144
0.1	2.28	0.9847589285714287
0.1	4.39	0.9850357142857143
0.1	6.16	0.9853035714285716
0.1	6.21	0.9853928571428572
0.1	6.27	0.9845178571428572
0.1	8.51	0.9856428571428574
0.1	9.23	0.9851517857142857
0.1	10.02	0.9843035714285716
0.1	10.74	0.9852589285714287
0.1	10.79	0.9854553571428573
0.1	11.72	0.9852142857142858
0.1	11.99	0.9851160714285716
0.1	12.91	0.9853482142857144
0.1	13.96	0.9848750000000003
0.1	16.62	0.9850446428571429
0.1	18.8	0.9844553571428574
0.1	19.2	0.9850357142857145
0.1	20.3	0.9833571428571429
0.1	20.54	0.9854196428571429
0.1	21.17	0.9851875000000001
0.1	22.77	0.9852500000000001
0.1	25.09	0.9839642857142857
0.1	26.07	0.9753839285714286
0.1	26.96	0.9848392857142858
0.1	27.03	0.9848750000000002
0.1	27.55	0.9825982142857145
0.1	28.06	0.9853928571428573
0.1	29.24	0.9759910714285716
0.1	29.5	0.9842678571428572
0.1	34.54	0.9849464285714287
0.1	35.24	0.9852410714285715
0.1	37.28	0.9540892857142858
0.1	37.77	0.9059464285714287
0.1	38.7	0.8145357142857144
0.1	39.48	0.9769910714285716
0.1	39.73	0.7267321428571429
0.1	40.37	0.7830803571428571
0.1	40.95	0.9570625000000001
0.1	42.51	0.9468214285714287
0.1	44.2	0.7495178571428571
0.1	46.53	0.7336160714285715
0.1	47.39	0.8576875000000002
0.1	47.5	0.8515089285714287
0.1	47.53	0.9822857142857143
0.1	47.68	0.8504017857142857
0.1	47.95	0.8069375000000001
0.1	48.53	0.32655357142857144
0.1	49.18	0.9734464285714287
0.1	49.98	0.4339375
0.1	50.61	0.8264107142857143
0.1	51.0	0.3127232142857142
0.1	51.57	0.9674196428571429
0.1	52.71	0.9097410714285715
0.1	53.89	0.9377410714285715
0.1	54.57	0.9025982142857143
0.1	55.75	0.7636160714285716
0.1	57.24	0.6679821428571429
0.1	58.41	0.7216071428571429
0.1	59.23	0.8229107142857144
0.1	61.05	0.7715178571428573
0.1	61.07	0.8351696428571429
0.1	63.67	0.6332142857142857
0.1	63.84	0.7351696428571429
0.1	64.13	0.6964017857142858
0.1	64.97	0.7528928571428571
0.1	68.62	0.8994196428571429
0.1	69.32	0.22808928571428574
0.1	69.52	0.6220178571428571
0.1	69.66	0.3195178571428572
0.1	70.96	0.359
0.1	73.39	0.36813392857142857
0.1	74.3	0.5760446428571429
0.1	76.24	0.6566696428571429
0.1	76.35	0.5034821428571428
0.1	76.48	0.021892857142857134
