# u	v	rank	gender
1	1	Asst	M
1	1	Asst	M
1	1	Asst	M
1	1	Asst	M
1	1	Assoc	M
1	1	Full	F
1	1	Full	F
1	1	Full	M
1	1	Full	M
1	1	Full	M
1	1	Full	M
1	1	Full	M
1	1	Full	M
1	1	Full	M
1	1	Full	M
1	1	Full	F
1	1	Full	M
1	1	Full	M
1	1	Full	M
1	1	Full	M
1	2	Asst	M
1	2	Asst	F
1	2	Asst	M
1	2	Asst	F
1	2	Assoc	F
1	2	Assoc	M
1	2	Assoc	M
1	2	Assoc	M
1	2	Assoc	M
1	2	Full	M
1	2	Full	M
1	2	Full	M
1	2	Full	M
1	2	Full	F
1	2	Full	M
1	2	Full	M
1	2	Full	M
1	2	Full	M
1	2	Full	M
1	2	Full	M
1	2	Full	M
1	2	Full	M
1	3	Asst	M
1	3	Asst	F
1	3	Asst	M
1	3	Asst	F
1	3	Asst	F
1	3	Asst	F
1	3	Assoc	M
1	3	Assoc	M
1	3	Assoc	M
1	3	Assoc	M
1	3	Full	F
1	3	Full	M
1	3	Full	M
1	3	Full	F
1	3	Full	M
1	3	Full	M
1	3	Full	M
1	3	Full	M
1	3	Full	M
1	3	Full	M
1	3	Full	M
1	4	Asst	F
1	4	Asst	F
1	4	Asst	M
1	4	Asst	M
1	4	Asst	M
1	4	Asst	M
1	4	Asst	M
1	4	Asst	F
1	4	Assoc	M
1	4	Assoc	M
1	4	Assoc	M
1	4	Assoc	M
1	4	Full	M
1	4	Full	M
1	4	Full	M
1	4	Full	M
1	4	Full	M
1	4	Full	F
1	5	Assoc	M
1	5	Full	F
1	6	Asst	M
1	6	Asst	F
1	6	Asst	F
1	6	Asst	M
1	6	Full	M
1	6	Full	M
1	7	Full	M
1	7	Full	F
1	8	Asst	M
1	8	Asst	M
1	8	Asst	M
1	8	Asst	F
1	8	Asst	F
1	8	Asst	M
1	8	Asst	F
1	8	Asst	M
1	8	Assoc	M
1	8	Assoc	M
1	8	Assoc	F
1	8	Assoc	M
1	8	Full	F
1	8	Full	M
1	8	Full	M
1	8	Full	M
1	8	Full	F
1	8	Full	M
1	8	Full	M
1	8	Full	M
1	8	Full	M
1	9	Asst	M
1	9	Assoc	F
1	9	Assoc	M
1	9	Full	M
1	9	Full	F
1	9	Full	M
1	9	Full	M
1	9	Full	F
1	9	Full	M
1	9	Full	M
1	10	Asst	F
1	10	Asst	M
1	10	Assoc	M
1	10	Assoc	M
1	10	Assoc	M
1	10	Full	M
1	10	Full	M
1	10	Full	M
1	10	Full	M
1	10	Full	M
1	10	Full	M
1	10	Full	F
1	10	Full	M
1	10	Full	F
1	10	Full	M
1	10	Full	F
1	10	Full	M
1	11	Asst	M
1	11	Asst	F
1	11	Full	M
1	12	Asst	M
1	12	Asst	M
1	12	Asst	M
1	12	Asst	M
1	12	Asst	M
1	12	Asst	F
1	12	Asst	M
1	12	Assoc	M
1	12	Assoc	M
1	12	Assoc	M
1	12	Assoc	F
1	12	Full	M
1	12	Full	M
1	12	Full	M
1	12	Full	M
1	12	Full	M
1	12	Full	M
1	12	Full	M
1	12	Full	M
1	12	Full	M
1	12	Full	M
1	12	Full	M
1	12	Full	M
1	13	Asst	F
1	13	Asst	F
1	13	Asst	F
1	13	Asst	M
1	13	Asst	M
1	13	Assoc	M
1	13	Assoc	F
1	14	Assoc	M
1	14	Full	M
1	14	Full	M
1	15	Asst	M
1	15	Asst	M
1	15	Asst	M
1	15	Assoc	M
1	15	Assoc	M
1	15	Assoc	M
1	15	Assoc	M
1	15	Assoc	F
1	15	Full	M
1	15	Full	M
1	15	Full	M
1	15	Full	F
1	15	Full	M
1	15	Full	M
1	15	Full	M
1	15	Full	M
1	15	Full	M
1	16	Asst	M
1	16	Asst	M
1	16	Asst	M
1	16	Asst	M
1	16	Asst	M
1	16	Asst	M
1	16	Asst	F
1	16	Assoc	F
1	16	Assoc	M
1	16	Assoc	M
1	16	Full	M
1	16	Full	M
1	16	Full	M
1	16	Full	M
1	16	Full	M
1	16	Full	M
1	16	Full	M
1	16	Full	M
1	16	Full	F
1	16	Full	M
1	17	Asst	M
1	17	Asst	F
1	17	Full	M
1	17	Full	M
1	17	Full	M
1	18	Assoc	M
1	18	Full	M
1	19	Asst	M
1	19	Asst	M
1	19	Assoc	M
1	19	Assoc	M
1	19	Full	M
1	19	Full	M
1	19	Full	M
1	19	Full	M
1	19	Full	M
1	19	Full	M
1	20	Asst	M
1	20	Asst	F
1	21	Assoc	M
1	22	Asst	F
1	22	Assoc	M
1	22	Full	M
1	22	Full	M
1	23	Asst	M
1	23	Asst	M
1	23	Asst	M
1	23	Asst	M
1	23	Assoc	M
1	23	Assoc	F
1	23	Assoc	M
1	23	Assoc	M
1	23	Full	M
1	23	Full	M
1	24	Asst	M
1	24	Assoc	F
1	24	Full	M
1	24	Full	M
1	24	Full	M
1	24	Full	M
1	25	Asst	M
1	25	Assoc	M
1	25	Assoc	M
1	25	Full	M
1	26	Asst	M
1	26	Assoc	M
1	26	Assoc	M
1	26	Assoc	F
1	26	Assoc	M
1	26	Full	M
1	26	Full	F
1	26	Full	M
1	26	Full	M
1	27	Full	M
1	28	Full	M
1	29	Asst	F
1	29	Assoc	M
1	29	Assoc	F
1	29	Assoc	F
1	29	Full	M
1	29	Full	M
1	29	Full	M
1	29	Full	M
1	29	Full	M
1	29	Full	M
1	29	Full	M
1	29	Full	M
1	29	Full	M
1	30	Assoc	M
1	30	Assoc	M
1	30	Assoc	M
1	30	Assoc	M
1	30	Full	F
1	30	Full	M
1	31	Asst	M
1	31	Assoc	M
1	31	Assoc	M
1	33	Asst	M
1	34	Assoc	F
1	34	Full	F
1	35	Asst	F
1	35	Asst	M
1	35	Assoc	F
1	35	Full	M
1	35	Full	M
1	35	Full	F
1	36	Full	M
1	37	Assoc	M
1	37	Assoc	M
1	37	Full	F
1	37	Full	M
1	38	Asst	M
1	38	Full	M
1	39	Asst	M
1	39	Asst	M
1	39	Asst	M
1	39	Asst	M
1	39	Asst	M
1	39	Assoc	M
1	39	Assoc	M
1	39	Assoc	M
1	39	Assoc	F
1	39	Full	M
1	39	Full	M
1	39	Full	M
1	41	Assoc	M
1	41	Full	M
1	42	Asst	M
1	42	Assoc	M
1	42	Assoc	M
1	42	Assoc	F
1	43	Asst	F
1	43	Asst	F
1	43	Assoc	M
1	43	Assoc	F
1	45	Assoc	M
1	45	Full	F
1	47	Full	M
1	47	Full	M
1	47	Full	M
1	48	Assoc	M
1	48	Assoc	F
1	48	Assoc	F
1	48	Assoc	F
1	48	Full	M
1	48	Full	F
1	49	Assoc	M
1	49	Full	F
1	50	Full	M
1	50	Full	M
1	50	Full	M
1	51	Full	M
1	53	Asst	M
1	53	Assoc	F
1	53	Full	M
1	54	Asst	M
1	54	Assoc	M
1	55	Full	M
1	60	Asst	F
1	60	Asst	M
1	60	Assoc	M
1	60	Full	M
1	61	Assoc	M
1	62	Full	M
1	62	Full	M
1	63	Asst	M
1	63	Assoc	M
1	63	Assoc	M
1	63	Full	M
1	63	Full	M
1	65	Full	M
1	68	Assoc	M
1	68	Full	M
1	68	Full	M
1	68	Full	M
1	69	Full	M
1	70	Asst	M
1	71	Assoc	M
1	71	Full	M
1	73	Asst	M
1	73	Assoc	F
1	73	Full	M
1	74	Assoc	M
1	77	Full	M
1	78	Assoc	M
1	78	Assoc	M
1	79	Full	M
1	79	Full	M
1	79	Full	M
