# u	v	rank	gender
1	1	Asst	M
1	1	Assoc	M
1	1	Assoc	M
1	1	Full	M
1	1	Full	M
1	1	Full	M
1	1	Full	F
1	1	Full	M
1	1	Full	M
1	2	Asst	M
1	2	Asst	M
1	2	Assoc	M
1	2	Assoc	M
1	2	Assoc	M
1	2	Assoc	M
1	2	Full	M
1	2	Full	F
1	2	Full	M
1	3	Asst	M
1	3	Assoc	F
1	3	Assoc	M
1	3	Full	M
1	3	Full	M
1	3	Full	M
1	3	Full	M
1	3	Full	M
1	3	Full	F
1	3	Full	M
1	3	Full	F
1	3	Full	M
1	3	Full	M
1	3	Full	M
1	5	Full	M
1	5	Full	M
1	6	Asst	M
1	6	Asst	M
1	6	Assoc	M
1	6	Full	M
1	6	Full	F
1	6	Full	M
1	6	Full	M
1	7	Assoc	M
1	7	Full	M
1	7	Full	F
1	7	Full	M
1	7	Full	M
1	7	Full	M
1	7	Full	M
1	7	Full	M
1	7	Full	M
1	7	Full	M
1	7	Full	M
1	8	Assoc	M
1	8	Assoc	M
1	8	Assoc	F
1	8	Full	F
1	8	Full	M
1	8	Full	M
1	8	Full	M
1	9	Full	M
1	9	Full	F
1	10	Asst	F
1	10	Full	M
1	10	Full	M
1	10	Full	M
1	10	Full	F
1	11	Assoc	M
1	11	Assoc	M
1	11	Assoc	M
1	11	Full	M
1	11	Full	M
1	11	Full	M
1	12	Asst	M
1	12	Full	M
1	13	Asst	M
1	13	Assoc	M
1	13	Full	M
1	13	Full	M
1	14	Full	M
1	14	Full	F
1	14	Full	M
1	14	Full	F
1	15	Asst	M
1	15	Assoc	M
1	15	Full	M
1	15	Full	M
1	16	Assoc	M
1	16	Assoc	M
1	16	Full	F
1	16	Full	M
1	16	Full	F
1	17	Asst	F
1	18	Assoc	M
1	18	Full	M
1	20	Asst	M
1	20	Assoc	M
1	20	Assoc	M
1	20	Full	M
1	20	Full	M
1	21	Asst	M
1	21	Assoc	M
1	22	Asst	M
1	23	Full	M
1	24	Asst	F
1	24	Full	M
1	25	Assoc	M
1	25	Full	M
1	26	Asst	M
1	26	Assoc	F
1	26	Full	M
1	26	Full	M
1	26	Full	M
1	26	Full	M
1	26	Full	M
1	27	Assoc	F
1	27	Full	F
1	27	Full	M
1	28	Asst	M
1	28	Assoc	F
1	28	Full	M
1	29	Full	M
1	29	Full	M
1	30	Asst	M
1	30	Assoc	M
1	30	Assoc	M
1	31	Asst	F
1	31	Assoc	M
1	32	Assoc	M
1	33	Asst	M
1	33	Full	M
1	36	Full	M
1	37	Full	M
1	38	Full	M
1	38	Full	M
1	42	Assoc	M
1	46	Assoc	M
1	46	Assoc	M
1	46	Assoc	M
1	46	Assoc	M
1	46	Assoc	F
1	46	Full	M
1	46	Full	M
1	46	Full	M
1	49	Full	M
1	50	Asst	M
1	54	Assoc	M
1	56	Asst	M
1	57	Full	M
1	60	Asst	F
1	61	Full	M
1	63	Asst	F
1	63	Asst	M
1	65	Full	M
1	66	Asst	F
1	67	Full	M
1	69	Assoc	M
1	69	Full	M
1	69	Full	M
1	69	Full	M
1	69	Full	M
1	69	Full	M
1	71	Assoc	M
1	72	Assoc	M
1	74	Assoc	F
1	78	Full	M
1	79	Full	M
1	80	Full	M
1	82	Assoc	F
1	83	Assoc	M
1	85	Asst	M
1	89	Full	M
1	91	Full	M
1	98	Full	M
1	101	Assoc	M
1	105	Assoc	M
1	106	Assoc	F
1	111	Asst	M
1	111	Assoc	M
1	111	Full	M
1	115	Full	M
1	115	Full	M
1	116	Full	M
1	125	Full	M
1	135	Assoc	M
1	148	Full	M
1	154	Full	F
1	157	Assoc	M
1	167	Full	M
1	170	Assoc	M
2	1	Asst	M
2	1	Asst	M
2	1	Asst	M
2	1	Assoc	M
2	1	Assoc	M
2	1	Assoc	M
2	1	Full	M
2	1	Full	F
2	2	Assoc	F
2	2	Assoc	M
2	2	Full	M
2	2	Full	M
2	2	Full	M
2	2	Full	M
2	2	Full	M
2	3	Asst	M
2	3	Asst	M
2	3	Assoc	M
2	3	Assoc	M
2	3	Full	M
2	3	Full	M
2	3	Full	F
2	3	Full	M
2	3	Full	F
2	3	Full	M
2	3	Full	M
2	3	Full	M
2	4	Full	M
2	4	Full	M
2	5	Full	F
2	5	Full	M
2	5	Full	F
2	6	Asst	M
2	6	Asst	M
2	6	Assoc	M
2	6	Full	M
2	6	Full	M
2	7	Asst	M
2	7	Assoc	M
2	7	Assoc	M
2	7	Assoc	M
2	7	Assoc	F
2	7	Assoc	M
2	7	Assoc	M
2	7	Assoc	M
2	7	Assoc	M
2	7	Full	M
2	7	Full	M
2	7	Full	M
2	7	Full	M
2	7	Full	M
2	7	Full	M
2	8	Assoc	M
2	8	Full	M
2	8	Full	M
2	9	Full	M
2	10	Assoc	M
2	10	Assoc	M
2	10	Assoc	M
2	10	Full	M
2	10	Full	F
2	10	Full	M
2	10	Full	M
2	11	Asst	M
2	11	Asst	M
2	11	Assoc	M
2	11	Full	M
2	12	Asst	M
2	12	Full	F
2	12	Full	M
2	12	Full	M
2	12	Full	M
2	12	Full	M
2	12	Full	M
2	13	Asst	M
2	13	Assoc	M
2	13	Full	M
2	15	Assoc	M
2	15	Full	M
2	15	Full	M
2	15	Full	M
2	16	Asst	M
2	16	Assoc	M
2	18	Full	M
2	18	Full	M
2	18	Full	F
2	18	Full	M
2	19	Asst	M
2	19	Full	M
2	20	Assoc	M
2	20	Assoc	M
2	20	Full	M
2	21	Full	F
2	22	Assoc	M
2	23	Full	M
