# u	v	rank	gender
1	1	Assoc	F
1	1	Full	F
1	1	Full	F
1	1	Full	M
1	1	Full	M
1	1	Full	M
1	1	Full	M
1	1	Full	M
1	1	Full	F
1	2	Asst	M
1	2	Full	M
1	2	Full	M
1	3	Asst	F
1	3	Asst	M
1	3	Assoc	F
1	3	Assoc	M
1	3	Full	F
1	3	Full	M
1	3	Full	M
1	3	Full	F
1	3	Full	F
1	3	Full	M
1	4	Asst	M
1	4	Asst	F
1	4	Asst	F
1	4	Asst	M
1	4	Full	M
1	4	Full	M
1	4	Full	F
1	4	Full	M
1	5	Asst	F
1	5	Asst	M
1	5	Asst	M
1	5	Full	M
1	5	Full	F
1	5	Full	M
1	5	Full	M
1	5	Full	M
1	5	Full	M
1	5	Full	F
1	6	Asst	M
1	6	Assoc	M
1	6	Full	M
1	6	Full	M
1	6	Full	M
1	7	Asst	F
1	7	Assoc	M
1	7	Assoc	M
1	7	Full	M
1	7	Full	F
1	7	Full	M
1	7	Full	M
1	7	Full	M
1	7	Full	M
1	7	Full	M
1	7	Full	M
1	7	Full	M
1	7	Full	F
1	7	Full	M
1	7	Full	M
1	7	Full	M
1	8	Asst	F
1	8	Assoc	M
1	8	Full	M
1	9	Asst	M
1	9	Full	F
1	10	Asst	F
1	10	Assoc	M
1	10	Full	M
1	10	Full	M
1	10	Full	F
1	10	Full	F
1	10	Full	M
1	10	Full	M
1	11	Asst	F
1	12	Asst	M
1	12	Asst	M
1	12	Asst	F
1	12	Assoc	M
1	12	Full	M
1	12	Full	M
1	12	Full	M
1	12	Full	F
1	12	Full	M
1	13	Full	M
1	13	Full	M
1	13	Full	M
1	13	Full	M
1	14	Asst	M
1	14	Asst	F
1	14	Assoc	M
1	14	Assoc	M
1	14	Assoc	M
1	14	Assoc	M
1	14	Full	M
1	14	Full	M
1	15	Assoc	F
1	15	Assoc	M
1	15	Full	M
1	15	Full	M
1	15	Full	M
1	16	Asst	M
1	16	Asst	M
1	16	Assoc	F
1	16	Assoc	M
1	16	Assoc	M
1	16	Full	F
1	16	Full	F
1	17	Assoc	M
1	18	Assoc	M
1	19	Full	F
1	20	Asst	M
1	20	Assoc	M
1	20	Full	F
1	20	Full	M
1	20	Full	M
1	21	Full	F
1	21	Full	M
1	22	Assoc	M
1	23	Asst	M
1	23	Assoc	M
1	23	Full	F
1	23	Full	M
1	24	Asst	M
1	24	Assoc	M
1	24	Full	M
1	24	Full	F
1	25	Assoc	M
1	25	Full	M
1	25	Full	F
1	25	Full	M
1	26	Asst	F
1	26	Assoc	M
1	26	Full	F
1	26	Full	M
1	26	Full	M
1	27	Full	M
1	27	Full	M
1	27	Full	M
1	28	Asst	M
1	28	Asst	M
1	28	Full	M
1	28	Full	M
1	28	Full	F
1	28	Full	F
1	28	Full	F
1	30	Assoc	M
1	31	Asst	M
1	31	Asst	F
1	32	Asst	M
1	32	Assoc	F
1	32	Full	M
1	33	Asst	M
1	33	Asst	M
1	33	Assoc	F
1	33	Full	M
1	33	Full	M
1	34	Asst	F
1	34	Assoc	M
1	34	Assoc	F
1	34	Full	M
1	34	Full	M
1	35	Full	M
1	35	Full	M
1	36	Asst	F
1	36	Assoc	F
1	37	Full	M
1	38	Full	F
1	39	Full	M
1	40	Asst	F
1	40	Assoc	F
1	40	Assoc	M
1	40	Assoc	M
1	40	Full	M
1	40	Full	F
1	40	Full	M
1	42	Asst	M
1	42	Assoc	M
1	42	Assoc	F
1	42	Assoc	M
1	43	Asst	F
1	43	Assoc	M
1	43	Full	M
1	44	Full	M
1	45	Asst	M
1	45	Full	F
1	46	Asst	M
1	46	Full	F
1	47	Asst	M
1	47	Asst	F
1	47	Full	F
1	47	Full	M
1	47	Full	M
1	47	Full	M
1	47	Full	M
1	48	Asst	F
1	48	Full	M
1	48	Full	M
1	49	Asst	F
1	49	Full	M
1	49	Full	M
1	50	Assoc	M
1	50	Assoc	F
1	51	Asst	F
1	52	Assoc	M
1	52	Full	F
1	52	Full	M
1	52	Full	M
1	53	Assoc	M
1	53	Assoc	M
1	53	Full	M
1	53	Full	M
1	53	Full	M
1	54	Assoc	F
1	54	Assoc	M
1	55	Full	M
1	55	Full	F
1	56	Asst	M
1	57	Assoc	F
1	57	Full	M
1	58	Full	M
1	59	Full	M
1	60	Asst	M
1	60	Full	M
1	62	Assoc	M
1	63	Asst	M
1	63	Assoc	M
1	63	Assoc	M
1	63	Full	M
1	63	Full	F
1	64	Assoc	F
1	64	Full	M
1	64	Full	F
1	65	Asst	F
1	65	Assoc	F
1	65	Full	M
1	68	Asst	F
1	68	Assoc	M
1	68	Full	M
1	69	Full	M
1	72	Assoc	M
1	72	Full	M
1	73	Assoc	M
1	73	Full	M
1	74	Asst	M
1	74	Assoc	F
1	75	Assoc	F
1	75	Full	F
1	75	Full	M
1	76	Full	F
1	77	Asst	M
1	77	Asst	M
1	77	Assoc	M
1	77	Assoc	M
1	77	Assoc	M
1	77	Assoc	M
1	77	Assoc	M
1	78	Asst	M
1	78	Assoc	M
1	80	Assoc	F
1	81	Asst	M
1	81	Full	M
