# u	pi	USN2009	NRC2010	Region  	institution
1	1.54	5	1	Northeast	Harvard University
2	2.41	1	12	Northeast	Yale University
3	4.80	1	14	West     	UC Berkeley
4	5.16	1	1	Northeast	Princeton University
5	5.45	1	9	West     	Stanford University
6	6.19	5	4	Midwest  	University of Chicago
7	7.00	7	10	Northeast	Columbia University
8	9.97	36	7	Northeast	Brandeis University
9	10.84	9	3	South    	Johns Hopkins University
10	11.66	9	3	Northeast	University of Pennsylvania
11	11.85	14	33	Midwest  	University of Wisconsin, Madison
12	13.94	7	16	Midwest  	University of Michigan
13	14.01	9	20	West     	UCLA
14	15.65	14	28	Midwest  	Northwestern University
15	17.39	12	27	Northeast	Cornell University
16	17.74	17	14	Northeast	Brown University
17	18.46	28	40	West     	UC Davis
18	18.69	64	18	Northeast	University of Rochester
19	20.44	17	7	Northeast	New York University
20	23.18	33	36	West     	UC San Diego
21	25.01	14	23	South    	Duke University
22	25.21	24	32	Midwest  	University of Minnesota, Minneapolis
23	27.27	20	9	Northeast	Rutgers University
24	28.00	12	8	South    	University of North Carolina, Chapel Hill
25	29.17	20	48	South    	University of Virginia
26	29.69	42	50	West     	University of Southern California
27	32.10	26	21	West     	University of Washington
28	33.77	28	124	Northeast	MIT
29	35.45	17	61	South    	University of Texas, Austin
30	35.83	28	33	South    	Emory University
31	37.48	22	47	Midwest  	Indiana University
32	37.78	71	87	Northeast	State University of New York, Stony Brook
33	40.18	22	29	Midwest  	University of Illinois, Urbana Champaign
34	41.60	28	65	Midwest  	Washington University, St. Louis
35	42.05	71	62	West     	UC Riverside
36	43.05	56	57	Midwest  	Michigan State University
37	45.07	42	41	West     	UC Irvine
38	45.41	42	6	West     	UC Santa Barbara
39	46.00	64	26	Northeast	State University of New York, Binghamton
40	46.10	36	50	South    	Georgetown University
41	46.53	42	25	West     	University of Arizona
42	47.59	33	85	South    	University of Maryland, College Park
43	47.71	101	121	South    	Catholic University of America
44	48.11	48	93	South    	University of Florida
45	48.68	36	24	Northeast	Carnegie Mellon University
46	50.83	42	49	Northeast	University of Pittsburgh
47	51.36	56	16	Northeast	Tufts University
48	51.57	36	11	Midwest  	University of Notre Dame
49	53.53	33	13	South    	Rice University
