target_inst	target_inst_prestige	target_inst_rank	year_adopted	source_inst
Syracuse University	56.74	47	inf	
Brown University	21.92	18	inf	
Michigan Technological University	156.45	168	2009	Ohio State University
Rice University	16.44	13	inf	
University of Connecticut	108.32	99	2008	
State University of New York, Albany	110.18	103	inf	
University of Florida	94.94	86	1989	
UC Santa Barbara	56.76	48	inf	
State University of New York, Binghamton	124.35	116	2000	
State University of New York, Stony Brook	36.01	30	inf	
University of Waterloo	67.81	54	2003	
MIT	3.52	2	1988	UC San Diego
Pace University	182.16	200	2004	
University of Ottawa	107.42	98	2009	
State University of New York, Buffalo	82.16	74	1995	
UC Irvine	37.36	31	1996	
North Carolina State University	81.9	73	inf	
Florida International University	146.92	154	1988	
Arizona State University	108.72	101	1996	
UNKNOWN	206.0	205	inf	
Polytechnic Institute of NYU	87.42	81	inf	
Toyota Technological Institute at Chicago	126.16	121	inf	
Western Michigan University	163.13	173	1987	Wayne State University
University of South Florida	111.94	104	1990	
University of Texas, Arlington	106.62	97	1995	
University of Pittsburgh	46.81	43	2006	
University of Michigan	29.37	27	1987	University of Illinois, Urbana Champaign
University of Pennsylvania	15.31	12	inf	
Virginia Commonwealth University	139.99	143	inf	
University of Rochester	25.64	21	1982	
University of British Columbia	51.75	45	2003	Stanford University
University of Manitoba	129.12	125	2000	University of Delaware
UC Riverside	71.14	59	2009	
Missouri University of Science and Technology	113.87	108	1993	
Wright State University	159.2	172	1998	
University of New Brunswick	158.12	171	inf	
University of Kansas, Lawrence	74.4	60	2001	
University of Texas, Dallas	125.87	119	2000	University of Southern California
University of Kentucky	123.11	115	inf	
Southern Methodist University	80.22	70	2005	
Temple University	156.16	166	2000	University of Maryland, Baltimore County
University of Louisiana, Lafayette	100.62	91	2000	
University of Tulsa	164.68	178	inf	
Boston University	51.73	44	inf	
UC Santa Cruz	79.49	68	inf	
Texas Tech University	164.46	177	1999	
University of Illinois, Urbana Champaign	13.43	10	inf	
University of Texas, El Paso	142.2	146	inf	
University of Central Florida	81.51	71	2006	University of Texas, Austin
University of Massachusetts, Lowell	151.46	160	1998	
Oregon State University	127.72	124	1990	
Florida Institute of Technology	180.75	197	2009	
Dalhousie University	139.97	142	1995	
New York University	18.23	15	inf	
University of Regina	130.03	126	inf	
McMaster University	84.01	77	inf	
University of Texas, San Antonio	133.22	130	2002	
University of Illinois, Chicago	79.33	66	1997	
Harvard University	6.12	4	inf	
Florida Atlantic University	131.2	129	1996	University of Louisiana, Lafayette
Ohio State University	42.17	40	1988	University of Illinois, Urbana Champaign
University of Minnesota, Minneapolis	38.94	35	1992	
Colorado School of Mines	169.65	184	inf	
Drexel University	127.37	123	1987	Drexel University
UC Berkeley	2.31	1	1998	UC San Diego
Wayne State University	99.58	89	2004	State University of New York, Stony Brook
Nova Southeastern University	178.55	192	inf	
UC Davis	61.39	50	inf	
University of Colorado, Denver	125.51	118	inf	
Brandeis University	84.55	78	1984	MIT
Vanderbilt University	92.5	85	inf	
University of Colorado, Boulder	68.17	55	1988	UC San Diego
Brigham Young University	166.53	180	1994	
University of Wisconsin, Madison	14.12	11	1988	University of Illinois, Urbana Champaign
New Mexico State University	137.49	136	inf	
Kent State University	171.68	187	2011	
College of William and Mary	75.2	62	inf	
University of Louisville	179.12	195	1997	
University of New Hampshire	156.98	169	inf	
Pennsylvania State University	41.22	39	1991	
Georgia State University	169.71	185	2004	University of Arizona
University of Missouri, Columbia	139.45	141	2007	UC Irvine
University of Memphis	137.66	137	1992	
McGill University	69.84	56	inf	
Naval Postgraduate School	142.23	147	inf	
Iowa State University	92.45	84	1990	University of Wisconsin, Madison
Montana State University	157.66	170	2006	
University of Wyoming	144.8	149	2011	
Johns Hopkins University	26.3	23	inf	
Ohio University	150.08	156	2006	
University of Massachusetts, Boston	143.2	148	inf	
Georgia Tech	39.69	36	inf	
Oakland University (Michigan)	134.48	133	inf	
Rutgers University	40.46	37	1991	
University of Maine	135.62	134	2003	
Virginia Tech	112.4	105	inf	
University of South Carolina	113.75	107	2004	Purdue University
University of Houston	64.97	52	1988	
University of Texas, Austin	19.44	17	1988	University of Illinois, Urbana Champaign
Mississippi State University	146.44	152	inf	
University of Maryland, Baltimore County	134.13	132	1992	North Carolina State University
University of Nebraska, Lincoln	130.66	127	inf	
Stanford University	2.23	0	2011	
University of Mississippi	165.5	179	1998	
Queens University	101.86	94	inf	
University of North Carolina, Chapel Hill	29.55	28	inf	
DePaul University	174.47	190	inf	
Washington State University, Pullman	83.35	76	1991	Pennsylvania State University
Lehigh University	76.47	63	2002	Rutgers University
University of Arkansas, Fayetteville	178.7	193	inf	
Rochester Institute of Technology	181.68	199	2003	Rochester Institute of Technology
California Institute of Technology	5.24	3	1988	
University of Bridgeport	178.73	194	inf	
Clarkson University	137.31	135	inf	
York University	145.24	150	inf	
George Mason University	97.34	87	1990	
University of Nevada, Reno	182.47	202	1998	University of Central Florida
Worcester Polytechnic Institute	140.75	144	inf	
Oregon Health and Science University	108.71	100	2007	
University of Saskatchewan	130.86	128	inf	
University of Southern California	26.17	22	2000	University of Southern California
Columbia University	22.53	19	inf	
CUNY Graduate Center	70.04	57	inf	
University of Miami	120.24	113	1995	
University of North Texas, Denton	186.84	204	inf	
Oklahoma State University	151.76	161	2011	State University of New York, Buffalo
Louisiana State University	102.17	96	2000	University of Denver
Long Island University	168.42	181	inf	
