target_inst	target_inst_prestige	target_inst_rank	year_adopted	source_inst
Syracuse University	56.74	47	inf	
Brown University	21.92	18	2009	MIT
Michigan Technological University	156.45	168	inf	
Rice University	16.44	13	inf	
University of Connecticut	108.32	99	inf	
State University of New York, Albany	110.18	103	inf	
University of Florida	94.94	86	inf	
UC Santa Barbara	56.76	48	inf	
State University of New York, Binghamton	124.35	116	2009	
State University of New York, Stony Brook	36.01	30	inf	
University of Waterloo	67.81	54	inf	
MIT	3.52	2	1998	Carnegie Mellon University
Pace University	182.16	200	inf	
University of Ottawa	107.42	98	inf	
State University of New York, Buffalo	82.16	74	2006	
UC Irvine	37.36	31	2004	
North Carolina State University	81.9	73	inf	
Florida International University	146.92	154	2005	
Arizona State University	108.72	101	inf	
UNKNOWN	206.0	205	inf	
Polytechnic Institute of NYU	87.42	81	inf	
Toyota Technological Institute at Chicago	126.16	121	inf	
Western Michigan University	163.13	173	inf	
University of South Florida	111.94	104	inf	
University of Texas, Arlington	106.62	97	inf	
University of Pittsburgh	46.81	43	inf	
University of Michigan	29.37	27	inf	
University of Pennsylvania	15.31	12	inf	
Virginia Commonwealth University	139.99	143	inf	
University of Rochester	25.64	21	inf	
University of British Columbia	51.75	45	inf	
University of Manitoba	129.12	125	inf	
UC Riverside	71.14	59	inf	
Missouri University of Science and Technology	113.87	108	inf	
Wright State University	159.2	172	inf	
University of New Brunswick	158.12	171	inf	
University of Kansas, Lawrence	74.4	60	inf	
University of Texas, Dallas	125.87	119	2008	
University of Kentucky	123.11	115	2005	
Southern Methodist University	80.22	70	inf	
Temple University	156.16	166	inf	
University of Louisiana, Lafayette	100.62	91	inf	
University of Tulsa	164.68	178	inf	
Boston University	51.73	44	inf	
UC Santa Cruz	79.49	68	inf	
Texas Tech University	164.46	177	inf	
University of Illinois, Urbana Champaign	13.43	10	2010	
University of Texas, El Paso	142.2	146	inf	
University of Central Florida	81.51	71	inf	
University of Massachusetts, Lowell	151.46	160	inf	
Oregon State University	127.72	124	2011	
Florida Institute of Technology	180.75	197	inf	
Dalhousie University	139.97	142	inf	
New York University	18.23	15	inf	
University of Regina	130.03	126	inf	
McMaster University	84.01	77	inf	
University of Texas, San Antonio	133.22	130	inf	
University of Illinois, Chicago	79.33	66	inf	
Harvard University	6.12	4	inf	
Florida Atlantic University	131.2	129	inf	
Ohio State University	42.17	40	inf	
University of Minnesota, Minneapolis	38.94	35	2005	University of Texas, Austin
Colorado School of Mines	169.65	184	inf	
Drexel University	127.37	123	inf	
UC Berkeley	2.31	1	2001	
Wayne State University	99.58	89	2003	Kent State University
Nova Southeastern University	178.55	192	inf	
UC Davis	61.39	50	inf	
University of Colorado, Denver	125.51	118	inf	
Brandeis University	84.55	78	inf	
Vanderbilt University	92.5	85	inf	
University of Colorado, Boulder	68.17	55	1997	
Brigham Young University	166.53	180	2011	
University of Wisconsin, Madison	14.12	11	2009	MIT
New Mexico State University	137.49	136	inf	
Kent State University	171.68	187	2001	Wayne State University
College of William and Mary	75.2	62	2008	Wayne State University
University of Louisville	179.12	195	inf	
University of New Hampshire	156.98	169	inf	
Pennsylvania State University	41.22	39	inf	
Georgia State University	169.71	185	inf	
University of Missouri, Columbia	139.45	141	inf	
University of Memphis	137.66	137	1997	Wayne State University
McGill University	69.84	56	inf	
Naval Postgraduate School	142.23	147	inf	
Iowa State University	92.45	84	2007	
Montana State University	157.66	170	inf	
University of Wyoming	144.8	149	inf	
Johns Hopkins University	26.3	23	inf	
Ohio University	150.08	156	inf	
University of Massachusetts, Boston	143.2	148	inf	
Georgia Tech	39.69	36	inf	
Oakland University (Michigan)	134.48	133	inf	
Rutgers University	40.46	37	2008	
University of Maine	135.62	134	inf	
Virginia Tech	112.4	105	inf	
University of South Carolina	113.75	107	inf	
University of Houston	64.97	52	inf	
University of Texas, Austin	19.44	17	2010	
Mississippi State University	146.44	152	inf	
University of Maryland, Baltimore County	134.13	132	2001	University of Massachusetts, Amherst
University of Nebraska, Lincoln	130.66	127	inf	
Stanford University	2.23	0	2008	
University of Mississippi	165.5	179	inf	
Queens University	101.86	94	inf	
University of North Carolina, Chapel Hill	29.55	28	inf	
